"variableType","bufferSize","lowerR","r","upperR","p","persistence"
"waterArea500",1000,-0.000626214947669285,0.0229666492544719,0.0465339601286709,0.0563995297158662,10
"waterArea500",10000,0.0299394308756614,0.053494170334382,0.0769895296257199,0.00000872472364085914,10
"waterArea500",100000,0.120890643355154,0.144072257527565,0.16709681561182,0.00000000000000000000000000000000247413685569914,10
"waterArea1000",50,-0.00472309935677125,0.0188715283876561,0.0424451555513021,0.116958242022581,10
"waterArea1000",100,0.0091783049684386,0.0327637352223051,0.0563127315429958,0.00648503697237048,10
"waterArea1000",1000,-0.00502019899028708,0.0185745258541864,0.0421485803978738,0.12283242618514,10
"waterArea1000",10000,0.0339916210131303,0.0575380034099381,0.0810205456040205,0.00000172478984919635,10
"waterArea1000",100000,0.12366990369687,0.146834013150933,0.16983818712497,0.00000000000000000000000000000000014305438838258,10
"waterArea5000",50,NA,NA,NA,NA,10
"waterArea5000",100,NA,NA,NA,NA,10
"waterArea5000",1000,-0.0215413233304755,0.00205224454241172,0.0256435278366122,0.864643483933113,10
"waterArea5000",10000,0.0447097490279343,0.0682303035142387,0.0916752564428204,0.0000000278933674913789,10
"waterArea5000",100000,0.131186967778532,0.15430192331168,0.177249195203382,0.0000000000000000000000000000000000000485864692265696,10
"waterBodies",50,-0.0392433863950664,-0.0156653652894005,0.00793009045026129,0.19315726969768,10
"waterBodies",100,-0.0455167223709612,-0.0219477661833152,0.00164561081231712,0.0682622151300443,10
"waterBodies",1000,-0.0895355926737407,-0.0660826588529569,-0.0425564819313342,0.0000000390608888644011,10
"waterBodies",10000,-0.0922909844824248,-0.0688483684673732,-0.0453294725469433,0.0000000206183509823948,10
"waterBodies",100000,-0.0997477014310145,-0.0763348152685813,-0.0528374469732965,0.000000000430959389967305,10
"total_precipitation",50,0.164491476212501,0.187652996821399,0.210607697186767,0.00000000000000000000000000000000000000000000000000000234711746172007,10
"total_precipitation",100,0.164942973567228,0.188100704450603,0.21105115778202,0.00000000000000000000000000000000000000000000000000000130284269023064,10
"total_precipitation",1000,0.164321222301397,0.187393792445677,0.210261422267754,0.00000000000000000000000000000000000000000000000000000127391083475616,10
"total_precipitation",10000,0.167520261992655,0.190360439416973,0.212996379803241,0.00000000000000000000000000000000000000000000000000000000250307881624908,10
"total_precipitation",100000,0.283758723601525,0.305307342614591,0.326547753482852,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007782008,10
"distance20",50,-0.0437695801013237,-0.0201636483236392,0.00346478600797006,0.0944063620668585,10
"distance20",100,-0.0512263904904602,-0.0276330514828819,-0.00400888510423161,0.0218826276960692,10
"distance20",1000,-0.0541274363700181,-0.0305431399086526,-0.00692478525622454,0.0112674958963464,10
"distance20",10000,-0.0694804926995625,-0.0459530657769219,-0.0223745467835227,0.000134883722882399,10
"distance20",100000,-0.0704829254940461,-0.0469685031239655,-0.0234019100179642,0.0000948077211411537,10
"distance500",50,-0.0266284596872089,-0.00250377714353493,0.0216238201686685,0.838846152825867,10
"distance500",100,-0.0240371550595807,0.0000855307087495269,0.024208116936172,0.994456115728484,10
"distance500",1000,-0.026700143788783,-0.00262110531652529,0.0214609729945442,0.831090925731259,10
"distance500",10000,-0.0295070071883008,-0.0055492752383531,0.0184148288695806,0.649943084647063,10
"distance500",100000,-0.0710983125675337,-0.0475565464459298,-0.0239618289238287,0.000157900671304101,10
"distance1000",50,-0.0139824843170517,0.014188153648909,0.0423362860674911,0.323558296564117,10
"distance1000",100,-0.019399240675015,0.00524460157617778,0.0298820750065353,0.676613415484628,10
"distance1000",1000,-0.017473316034559,0.00713222831218143,0.0317291390799032,0.569962917743232,10
"distance1000",10000,-0.0453432638912114,-0.0210777070096097,0.00321270817894691,0.0889863035533823,10
"distance1000",100000,-0.079563495904916,-0.0558899222879233,-0.0321533394308243,0.00000403594531831118,10
"distance5000",50,NA,NA,NA,NA,10
"distance5000",100,-0.103742349813758,-0.0445851414579138,0.0148864080458311,0.141649979076741,10
"distance5000",1000,-0.0616960376867235,-0.0335544043138668,-0.00535946332429459,0.0393734754413191,10
"distance5000",10000,-0.0680544113766566,-0.0408256299619585,-0.0135360753619011,0.00337704979453914,10
"distance5000",100000,-0.0768579317548112,-0.0528659962521254,-0.0288128738234462,0.000016808030431854,10
"waterArea",50,-0.00440800386095694,0.0191865163519169,0.042759685715563,0.110971718656894,20
"waterArea",100,-0.0023617438691883,0.0212319640583096,0.0448020469053397,0.0777666175205179,20
"waterArea",1000,0.0178030670740239,0.0413782123191762,0.0649073735629164,0.000584988701385036,20
"waterArea",10000,0.0449451754706591,0.0684651020117784,0.0919091692751261,0.000000012437822196061,20
"waterArea",100000,0.13492723237951,0.158016746657355,0.180934744285374,0.000000000000000000000000000000000000000784307724406867,20
