variableType;bufferSize;lowerR;r;upperR;p;persistence
distance20;1000;-0.046994206;-0.01820072;0.010622987;0.215833053;90
distance20;10000;-0.004328751;0.023274882;0.050843073;0.098400375;90
distance20;100000;0.031918837;0.055866416;0.079749889;9.89339E-06;90
distance500;50;-0.040661814;-0.009991964;0.020696698;0.523386411;90
distance500;100;-0.037721338;-0.007054701;0.023625211;0.652240828;90
distance500;1000;-0.041595219;-0.011113269;0.01938935;0.475173138;90
distance500;10000;-0.061129292;-0.031980524;-0.002777254;0.031855015;90
distance500;100000;0.034417776;0.059445693;0.084399095;6.66899E-06;90
distance1000;50;-0.052893428;-0.015546136;0.021844586;0.415115335;90
distance1000;100;-0.03622046;-0.00343786;0.029352131;0.837217362;90
distance1000;1000;-0.032783509;-0.000215057;0.03235385;0.98967698;90
distance1000;10000;-0.056283255;-0.026036242;0.004258518;0.092083057;90
distance1000;100000;0.010924727;0.036141052;0.061311438;0.009956795;90
distance5000;50;NA;NA;NA;NA;90
distance5000;100;-0.302874789;-0.201658554;-0.095943874;0.000221636;90
distance5000;1000;-0.208646975;-0.158682476;-0.107891786;2.84979E-09;90
distance5000;10000;-0.180449143;-0.134248511;-0.087456788;4.83335E-08;90
distance5000;100000;-0.060278413;-0.031185532;-0.002039714;0.071982394;90
