variableType;bufferSize;lowerR;r;upperR;p;persistence
distance20;100;-0.024454732;0.003537005;0.031523201;0.804421457;90
distance20;1000;-0.024667362;0.003190967;0.031044343;0.822390864;90
distance20;10000;0.000365778;0.026661184;0.052919747;0.046901026;90
distance20;100000;0.033991989;0.057915413;0.081772505;4.3015E-06;90
distance500;50;-0.099952218;-0.070316372;-0.040555874;3.79507E-06;90
distance500;100;-0.097957559;-0.068328887;-0.038579193;6.99155E-06;90
distance500;1000;-0.102669817;-0.073228956;-0.04365991;2.54792E-06;90
distance500;10000;-0.113556358;-0.085309016;-0.056923868;4.32347E-09;90
distance500;100000;0.035993776;0.060686895;0.085305956;3.01837E-06;90
distance1000;50;-0.105187812;-0.068826525;-0.032281451;0.00022771;90
distance1000;100;-0.099298467;-0.067376704;-0.035316403;7.82051E-05;90
distance1000;1000;-0.103562334;-0.071868598;-0.040029061;1.00622E-05;90
distance1000;10000;-0.116498433;-0.08655178;-0.056447895;1.94602E-08;90
distance1000;100000;0.003724981;0.028927681;0.054093655;0.048962264;90
distance5000;50;NA;NA;NA;NA;90
distance5000;100;-0.371470637;-0.275571831;-0.17385507;5.49801E-07;90
distance5000;1000;-0.290834997;-0.243472704;-0.194920088;2.12339E-21;90
distance5000;10000;-0.232838256;-0.188389945;-0.143156219;1.14755E-15;90
distance5000;100000;-0.046243181;-0.017955099;0.010361759;0.42785781;90
